Station,Year,Month,Day,Latitude,Longitude,Mean Depth,Std. Dev. Depth,Mean Density,Std. Dev. Density
13,1964,12,30,76.813,171.59,29.12,17.712,0.302,0.04158
13,1965,1,29,77.717,168.18,32.49,16.72,0.311,0.027264
13,1965,2,27,77.81,168.11,37.03,19.976,0.32,0.036818
13,1965,4,29,78.252,164.8,38.48,21.771,0.335,0.037786
13,1965,5,31,78.82,162.75,41.82,22.224,0.287,0.048316
13,1965,7,2,80.455,156.3,18.45,12.386,0.37857,0.069864
13,1965,9,10,NaN,NaN,4.41,3.3518,0.295,0.02429
13,1965,10,2,NaN,NaN,10.18,4.5999,0.236,0.018974
13,1965,10,31,80.572,150.92,NaN,NaN,0.275,0.045522
13,1966,9,20,87.103,143.99,17.6,11.996,0.025714,0.007868
14,1965,5,30,NaN,NaN,22.37,14.362,0.323,0.03093
14,1965,9,29,76.03,166.44,14.74,5.9554,0.2,0.022608
14,1965,10,30,NaN,NaN,20.49,9.9752,0.24,0.029059
14,1965,11,30,76.65,158.22,NaN,NaN,0.272,0.013166
15,1966,5,22,79.147,170.06,32.42,18.395,0.427,0.05697
15,1966,6,25,79.423,174.11,46.03,20.571,0.362,0.020976
15,1966,9,30,80.817,171.29,16.76,4.3464,0.121,0.01792
15,1966,10,27,NaN,NaN,23.91,7.4483,0.185,0.020138
15,1966,11,23,82.61,157.95,18.82,12.323,0.282,0.032249
15,1966,12,21,82.39,163.53,22.62,11.35,0.302,0.035528
15,1967,1,22,83.335,161.89,25.73,12.404,0.343,0.054579
15,1967,2,20,83.883,162.72,27.08,11.641,0.327,0.068158
15,1967,3,24,84.347,166.58,31.31,13.07,0.308,0.039101
15,1967,4,20,85.005,167.41,31.69,12.616,0.33,0.03559
16,1968,5,20,75.645,-178.79,42.38,23.988,0.318,0.041042
16,1968,6,19,76.078,-177.18,32.69,19.905,0.4,0.044222
16,1968,9,20,79.108,-178.03,18.87,11.988,0.25,0.060185
16,1968,10,20,NaN,NaN,20.21,11.958,0.336,0.053375
16,1968,11,20,80.282,176.38,23.19,13.863,0.299,0.021833
16,1968,12,20,80.73,178.44,26.39,17.564,0.296,0.028752
16,1969,1,20,81.142,174.38,25.64,14.256,0.315,0.031002
16,1969,2,20,80.65,176.46,26.27,14.131,0.336,0.03534
16,1969,3,20,80.867,177.95,26.36,16.556,0.334,0.028363
16,1969,4,20,81.56,177.59,38.83,18.094,0.336,0.021705
16,1969,5,20,NaN,NaN,40.67,19.489,0.314,0.016465
16,1969,9,20,NaN,NaN,20.47,9.5075,0.323,0.010593
16,1969,10,20,NaN,NaN,34.35,14.531,0.32,0.018257
16,1969,11,20,83.897,178.75,34.55,15.307,0.351,0.016633
16,1969,12,20,84.193,-172.77,35.02,16.874,0.351,0.013703
16,1970,1,20,84.293,-159.12,35.93,15.002,0.353,0.032335
16,1970,2,20,NaN,NaN,38.19,17.428,0.336,0.047889
16,1970,3,20,82.858,-154.35,38.45,17.021,0.335,0.031358
16,1970,4,20,83.265,-152.54,52.83,21.487,0.354,0.061319
16,1970,5,20,83.512,-148.94,58.9,25.116,0.315,0.031002
16,1970,6,20,83.272,-146.03,60.29,23.175,0.332,0.035839
16,1970,7,20,84.457,-143.43,4.9,4.8399,0.55,0.06245
16,1970,8,20,NaN,NaN,4.58,4.8371,0.52667,0.055076
16,1970,9,20,85.797,-133.38,13.37,7.7037,0.205,0.017159
16,1970,10,20,NaN,NaN,28.55,12.515,0.275,0.035668
16,1970,11,20,NaN,NaN,41.88,14.878,0.265,0.024152
16,1970,12,20,85.582,-130.91,40.63,18.112,0.274,0.027968
16,1971,1,20,85.96,-123.48,38.38,17.067,0.326,0.04274
16,1971,2,20,NaN,NaN,38.22,17.136,0.327,0.060194
16,1971,3,20,NaN,NaN,47.81,16.623,0.331,0.030714
16,1971,4,20,85.982,-119.64,48.43,16.427,0.32,0.019437
16,1971,6,20,86.008,-110.22,45.18,16.305,0.39,0.065
16,1971,9,20,NaN,NaN,28.95,9.6204,0.25222,0.017159
16,1971,10,20,87.013,-88.885,28.83,13.043,0.29556,0.030867
16,1971,11,20,86.555,-88.485,32.23,12.872,0.30333,0.025495
16,1971,12,20,86.568,-80.838,34.05,16.071,0.301,0.017288
18,1968,9,23,NaN,NaN,NaN,NaN,NaN,NaN
18,1970,5,20,NaN,NaN,23.2,15.793,0.309,0.04383
18,1970,10,20,77.808,150.35,22.28,6.1201,0.222,0.016865
18,1970,11,20,78.895,144.9,15.79,10.101,0.248,0.024855
18,1970,12,20,79.638,147.16,20.22,9.6552,0.267,0.021628
18,1971,1,20,80.425,143.54,22.3,8.5203,0.282,0.019322
18,1971,2,20,NaN,NaN,25.36,9.6426,0.313,0.016364
18,1971,3,20,NaN,NaN,28.8,12.417,0.318,0.016865
18,1971,5,24,NaN,NaN,32.96,14.896,0.271,0.037845
19,1970,1,31,76.487,155.27,22.29,13.462,0.27,0.018257
19,1970,11,30,78.908,147.08,34.16,17.379,0.272,0.047796
19,1970,12,30,79.625,144.63,36.46,16.014,0.273,0.072579
19,1971,1,31,81.012,144.82,35.89,16.224,0.282,0.035214
19,1971,2,28,80.318,150.97,39.81,18.931,0.305,0.049046
19,1971,3,31,81.195,149.93,42.41,16.581,0.316,0.030258
19,1971,5,22,NaN,NaN,43.73,23.962,0.316,0.042216
19,1971,11,14,86.268,134.73,21.53,17.035,0.292,0.030478
19,1971,12,2,86.775,122.65,25.07,20.24,0.274,0.013499
19,1972,1,3,87.077,128.44,26.39,19.258,0.308,0.026162
19,1972,2,2,87.99,156.17,35.33,19.666,0.317,0.01767
19,1972,5,20,89.45,105.35,20.92,13.262,0.28,0.043205
20,1970,5,20,NaN,NaN,NaN,NaN,0.29,0.02582
20,1970,11,20,78.452,-177.9,25.33,10.228,0.148,0.038528
20,1970,10,20,77.268,-175.17,17.95,7.6494,0.205,0.033082
20,1970,11,20,78.452,-177.9,25.33,10.228,0.255,0.038079
20,1970,12,25,NaN,NaN,29.54,11.043,0.271,0.025144
20,1971,1,18,NaN,NaN,31.6,10.81,0.286,0.027568
20,1971,2,22,NaN,NaN,36.3,12.672,0.3,0.029059
20,1971,3,20,NaN,NaN,38.14,13.594,0.307,0.038312
20,1971,4,20,79.182,-176.44,38.71,6.5771,0.332,0.025298
20,1971,5,20,79.08,-175.26,35.89,9.7358,0.308,0.028597
20,1971,9,20,NaN,NaN,20.65,9.2849,0.247,0.019465
20,1971,10,20,80.383,-171.84,27.02,9.4088,0.283,0.040838
20,1971,11,20,81.25,-176.58,28.41,8.7376,0.313,0.020028
20,1971,12,20,81.835,-174.43,30.31,9.7863,0.302,0.017512
20,1972,1,20,80.865,-170.94,33.68,10.716,0.364,0.056411
20,1972,2,20,81.048,-167.93,33.56,11.406,0.37,0.016997
20,1972,3,20,81.058,-167.53,31.96,9.4985,0.328,0.02974
20,1972,4,20,81.347,-167,33.63,9.948,0.315,0.015092
22,1974,10,20,82.29,-175.95,20.3,9.1968,0.262,0.035637
22,1974,11,20,82.258,-176.33,23.84,9.0359,0.31,0.059582
22,1974,12,22,82.022,-172.47,25.34,9.3713,0.256,0.023022
22,1975,1,22,82.605,-169.5,27.22,9.3728,0.268,0.027749
22,1975,2,20,83,-169.75,31.76,10.699,0.268,0.043243
22,1975,3,20,83.49,-170.64,32.52,11.893,0.274,0.031305
22,1975,4,20,NaN,NaN,31.18,10.941,0.302,0.053572
22,1975,5,20,83.907,-167.92,38.42,11.695,0.312,0.014832
22,1975,6,11,84.163,-167.87,36.76,11.778,0.322,0.032711
22,1975,9,20,82.907,-159.29,22.92,5.4692,0.28,0.014142
22,1975,10,20,83.332,-154.58,28.9,8.3648,0.274,0.033615
22,1975,12,20,84.153,-148.08,34.2,5.8832,0.268,0.017889
22,1976,1,20,84.663,-143.6,35.82,5.9374,0.268,0.013038
22,1976,2,20,84.05,-141.65,45.74,7.4088,0.318,0.0249
22,1976,3,20,83.582,-140.9,45.14,7.7749,0.326,0.016733
22,1976,4,20,83.588,-141.24,50.98,7.6731,0.304,0.027019
22,1976,5,20,83.233,-141.08,55.06,6.8016,0.36,0.012247
