Longitude,Latitude,IC
0,90,3.72181268882175
0,89,3.7805581570997
0,88,4.75683625377643
0,87,4.91151100412655
0,86,6.14190654205607
0,85,5.98362944162437
0,84,7.83369336384439
0,83,9.00763194600675
0,82,9.76057056928034
0,81,10.901713001912
0,80,10.7409229390681
0,79,12.1156330917874
0,78,14.0353373737374
0,77,14.9726319411765
0,76,17.4097611142061
0,75,17.1688444027852
0,74,15.6586386885246
0,73,16.3559571428571
0,72,17.8293912133891
0,71,18.516074601227
0,70,18.77814888197
0,69,18.9472441798154
0,68,19.1373522378308
0,67,18.2120670351105
0,66,18.4568933753943
0,65,18.5283384146341
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,3.72181268882175
1,89,3.76194202204047
1,88,4.73267339043852
1,87,4.87334754901983
1,86,6.07730827484667
1,85,6.83727994990655
1,84,7.68871188310097
1,83,8.93315468316375
1,82,9.69879839798195
1,81,10.7035585550966
1,80,10.7575024251388
1,79,12.1856644588954
1,78,13.3189879108066
1,77,14.291615298713
1,76,15.1744027752444
1,75,15.0158296839314
1,74,15.7139378253516
1,73,15.7350673009767
1,72,17.0364700865174
1,71,17.7268309856015
1,70,17.7038111283875
1,69,18.0130736551552
1,68,17.0426894285702
1,67,17.1380614240984
1,66,17.8590582545216
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,3.72181268882175
2,89,3.75253041025268
2,88,4.72566024733962
2,87,4.75675982595431
2,86,6.04249021435103
2,85,6.84040190114896
2,84,7.49280248959265
2,83,8.78184793752258
2,82,9.52821227704695
2,81,10.3818037282702
2,80,10.7280261194585
2,79,12.0675307325067
2,78,12.8295636956675
2,77,16.2034029011314
2,76,14.5060690989683
2,75,13.1485446813608
2,74,14.7002176053872
2,73,15.0122225711779
2,72,16.2829113460346
2,71,16.5855984811676
2,70,16.6932767346732
2,69,16.9753414721703
2,68,16.2389471334531
2,67,15.7055094389319
2,66,16.2633927389159
2,65,15.5665654097179
2,64,15.8652684244671
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,3.72181268882175
3,89,3.74305128016001
3,88,4.70107255905899
3,87,4.58507782198168
3,86,5.99158446385938
3,85,6.82432450762171
3,84,7.3668466965903
3,83,8.64939173373145
3,82,9.29574600772922
3,81,10.2350283128134
3,80,10.593745568985
3,79,12.0324558102535
3,78,12.1061005389969
3,77,15.6524507122841
3,76,12.3879659918041
3,75,12.6932542361043
3,74,14.0991881785589
3,73,14.7399265635227
3,72,15.376813800874
3,71,15.6913977606828
3,70,15.4787236566214
3,69,15.2933291468256
3,68,14.798167290756
3,67,14.658758266967
3,66,14.9572640583228
3,65,14.5001734671875
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,3.72181268882175
4,89,4.40076693430576
4,88,4.67633380532546
4,87,4.52071695449861
4,86,5.93265348068151
4,85,6.72822011683192
4,84,7.25264872499913
4,83,8.57269712073649
4,82,9.21636652473653
4,81,9.13903020177559
4,80,10.3560778621729
4,79,11.3035415140809
4,78,11.684803434731
4,77,14.5708797908998
4,76,11.9460409631949
4,75,11.6826540203786
4,74,13.3350231823454
4,73,13.8841572986413
4,72,14.2050768831218
4,71,14.3820355400652
4,70,14.4936278282854
4,69,13.5172333927342
4,68,14.2206796458218
4,67,11.8472847042203
4,66,13.7913863254364
4,65,3.24094115695331
4,64,0
4,63,NaN
4,62,0
4,61,14.4681766658034
4,60,14.7308573400563
5,90,3.72181268882175
5,89,4.36479992072796
5,88,4.57390738723676
5,87,4.32627268827104
5,86,5.87323325206924
5,85,6.63796504263872
5,84,7.16737075300617
5,83,8.38954832545383
5,82,9.01575052947419
5,81,8.9447241167159
5,80,10.2539267142908
5,79,10.926345736138
5,78,11.4402031880897
5,77,13.8024965145856
5,76,10.8473212822236
5,75,11.4178154689023
5,74,12.7996914979798
5,73,13.1448990066256
5,72,13.4140300787893
5,71,13.3125171955793
5,70,13.5162378118851
5,69,12.5479859596048
5,68,13.0825439320982
5,67,12.622522058375
5,66,12.482461685967
5,65,2.93285272857257
5,64,11.443092993951
5,63,0
5,62,11.625161183282
5,61,12.2946981211618
5,60,12.4976620539827
6,90,3.72181268882175
6,89,4.35347800032365
6,88,4.59242769767551
6,87,4.29967113858175
6,86,5.90229879457858
6,85,6.54101762172728
6,84,7.03898172666315
6,83,8.21539038545768
6,82,8.79644349228765
6,81,8.75768803217304
