Longitude,Latitude,IC
0,90,1.99057401812689
0,89,2.12609607250755
0,88,2.37043685800604
0,87,3.70490357634113
0,86,4.17171054739653
0,85,4.72899746192893
0,84,5.83686956521739
0,83,6.20472519685039
0,82,6.93387067669173
0,81,8.24810602294455
0,80,10.5468548387097
0,79,11.7487065217391
0,78,13.8841696969697
0,77,15.9336554117647
0,76,18.8045749303621
0,75,NaN
0,74,NaN
0,73,21.3931178571429
0,72,21.073790516039
0,71,20.8461175460123
0,70,19.2713274837249
0,69,20.6135208395356
0,68,21.569273832081
0,67,21.358755916775
0,66,18.7010321766561
0,65,30.7825304878049
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,1.99057401812689
1,89,2.1090808155376
1,88,2.35839596805409
1,87,3.67611571020551
1,86,4.12783406200625
1,85,4.81257290323718
1,84,5.71724729769046
1,83,7.6339265063525
1,82,6.91460075061173
1,81,8.151283383331
1,80,10.5787835350087
1,79,11.8588699504568
1,78,14.4060084488187
1,77,15.4208150488139
1,76,NaN
1,75,NaN
1,74,NaN
1,73,19.8528950331692
1,72,19.8965490045403
1,71,17.1620054885113
1,70,17.5679762603947
1,69,18.8565977513949
1,68,18.9413444842729
1,67,18.4975057464753
1,66,17.5503831735792
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,1.99057401812689
2,89,2.10380432542993
2,88,2.37070622408204
2,87,3.55407824921384
2,86,4.12411607174858
2,85,4.87737265799363
2,84,5.52896312740103
2,83,7.51335879099154
2,82,6.83126883315497
2,81,7.86522008971851
2,80,10.387245815114
2,79,11.7682881964598
2,78,13.8899545188335
2,77,14.9254803265225
2,76,NaN
2,75,NaN
2,74,18.9910473302265
2,73,18.6291883639113
2,72,17.1364510536897
2,71,15.1920803221238
2,70,15.7024499865506
2,69,17.4931473233905
2,68,17.9516077957595
2,67,15.7904959618699
2,66,16.1395597992795
2,65,NaN
2,64,NaN
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,1.99057401812689
3,89,2.09848998211754
3,88,2.35837140046126
3,87,3.36655628837156
3,86,4.099101903024
3,85,4.91644883882425
3,84,5.43601994143559
3,83,7.41688987622671
3,82,6.65226823678122
3,81,7.84957350683896
3,80,10.2747677058772
3,79,11.7665451846125
3,78,11.7169331131637
3,77,14.5347797567381
3,76,NaN
3,75,NaN
3,74,18.1242103321964
3,73,17.8076627730397
3,72,16.6143204831565
3,71,14.196370449608
3,70,14.260459442283
3,69,15.9277241225258
3,68,16.3017243951643
3,67,13.8607855795981
3,66,15.0341651588797
3,65,NaN
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,1.99057401812689
4,89,2.08144382027975
4,88,2.34596079233827
4,87,3.30689278082945
4,86,4.06356494786476
4,85,4.84721234223375
4,84,5.35938700963791
4,83,7.39097949153219
4,82,6.71281621503198
4,81,7.89973194771005
4,80,9.13977961523221
4,79,11.0240435784023
4,78,11.3860768965766
4,77,13.9968754355007
4,76,NaN
4,75,NaN
4,74,16.9806725506113
4,73,15.7611929816531
4,72,15.0017050649403
4,71,11.7542386299235
4,70,12.8470598055211
4,69,13.9041032665961
4,68,14.4384820143603
4,67,10.9631589800248
4,66,13.7913863254364
4,65,NaN
4,64,NaN
4,63,NaN
4,62,NaN
4,61,NaN
4,60,NaN
5,90,1.99057401812689
5,89,2.04087914382161
5,88,2.22408211441238
5,87,3.09245451757583
5,86,4.02757343875995
5,85,4.786172219585
5,84,5.32230501460854
5,83,7.23118748640015
5,82,6.58483705337893
5,81,7.67388899630818
5,80,9.13433786569634
5,79,10.657198422884
5,78,11.091906603909
5,77,13.3379894203448
5,76,NaN
5,75,NaN
5,74,15.7595582867624
5,73,13.9794472458834
5,72,12.7060219950529
5,71,11.0686311979556
5,70,11.0745948523188
5,69,11.5761109713394
5,68,11.695642054358
5,67,11.8381816294293
5,66,12.1828826055038
5,65,NaN
5,64,NaN
5,63,NaN
5,62,NaN
5,61,NaN
5,60,NaN
6,90,1.99057401812689
6,89,2.03558527660185
6,88,2.27294141118062
6,87,3.07790666204486
6,86,3.98165087644287
6,85,4.71627021652439
6,84,5.22696662871026
6,83,7.08292629480324
6,82,6.42817024436405
6,81,7.54004156780673
6,80,8.94302191584844
6,79,10.0589699941701
6,78,10.3979747453082
6,77,13.0119045846447
6,76,NaN
6,75,NaN
6,74,14.8809463347483
6,73,13.2059117074718
6,72,11.311111182777
6,71,10.292041562351
6,70,9.86641102884787
6,69,11.1890344997904
6,68,9.81967566042096
6,67,10.8106262835438
6,66,11.1023422537269
6,65,NaN
6,64,NaN
6,63,NaN
6,62,NaN
6,61,NaN
6,60,NaN
7,90,1.99057401812689
7,89,2.03026254524199
7,88,2.27258563787508
7,87,3.05198103799876
7,86,3.96367109763699
7,85,4.71158795898032
7,84,5.08438882707817
7,83,6.91687589123508
7,82,6.7943615166449
7,81,7.39874456569599
7,80,8.68592334016775
7,79,10.2486128229929
7,78,10.3257324106399
7,77,NaN
7,76,NaN
7,75,NaN
7,74,13.8447367862344
7,73,12.3383429559385
7,72,10.0496706078733
7,71,9.90578846206692
7,70,9.34551615459083
7,69,10.1032193869926
7,68,9.0467232793927
7,67,9.62701173881617
7,66,9.97859647579204
7,65,NaN
7,64,NaN
7,63,NaN
7,62,NaN
7,61,NaN
7,60,NaN
8,90,1.99057401812689
8,89,2.30031226498382
8,88,2.2601248805544
8,87,3.02596484753942
8,86,3.91712679932339
8,85,4.59162780631906
8,84,5.13216309412134
8,83,6.73407635581992
8,82,6.53558484682234
