Longitude,Latitude,IC
0,90,2.90175226586103
0,89,3.19663036253776
0,88,2.68170634441088
0,87,3.60435295735901
0,86,4.06801602136182
0,85,4.72899746192893
0,84,5.83686956521739
0,83,6.51615928008999
0,82,7.24794844253491
0,81,8.54295124282983
0,80,9.47948028673835
0,79,13.4916077294686
0,78,13.279498989899
0,77,13.7898338235294
0,76,14.3264884679666
0,75,11.1065760578468
0,74,12.3437324590164
0,73,14.4003535714286
0,72,15.8497577405858
0,71,17.9102634355828
0,70,19.4954995754316
0,69,20.1181412920512
0,68,19.2308876837635
0,67,16.8081596879064
0,66,16.3572996845426
0,65,17.1068521341463
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,2.90175226586103
1,89,3.17857924327475
1,88,2.66808432749554
1,87,3.57634639030432
1,86,4.02523015606728
1,85,4.81257290323718
1,84,5.71724729769046
1,83,6.53457958751221
1,82,7.31234327166462
1,81,8.43486951352718
1,80,9.59582963929318
1,79,13.0026507299921
1,78,12.4649003452258
1,77,13.011855581932
1,76,13.1892311859373
1,75,10.7616128424317
1,74,12.7308931834146
1,73,13.6761534348804
1,72,15.1644184310841
1,71,17.0751092581897
1,70,17.2510282350783
1,69,17.5491354022234
1,68,17.4043380106088
1,67,15.8692467232132
1,66,15.477850487252
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,2.90175226586103
2,89,3.17062708619759
2,88,2.67787414015912
2,87,3.45385478448546
2,86,4.02314901161161
2,85,5.26997850662469
2,84,5.82353903172977
2,83,6.44002182084989
2,82,7.21654646799668
2,81,8.14484049400203
2,80,9.45009997816684
2,79,12.8156370726239
2,78,11.5419462675374
2,77,12.6536179716621
2,76,12.7270228887175
2,75,9.98924861622062
2,74,12.3402612567255
2,73,13.0726901895672
2,72,14.3861564401345
2,71,14.6592645554306
2,70,14.7547026622595
2,69,16.2185483050023
2,68,16.1971749221774
2,67,13.9632857187041
2,66,14.4884539374606
2,65,15.4396640612691
2,64,NaN
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,2.90175226586103
3,89,3.1626178808509
3,88,2.66394111680009
