Longitude,Latitude,IC
0,90,3.26622356495468
0,89,2.9046664652568
0,88,3.20048882175227
0,87,4.71040976616231
0,86,5.5197393858478
0,85,6.1927347715736
0,84,7.03496384439359
0,83,8.59238650168729
0,82,9.23710762620838
0,81,9.3292051625239
0,80,12.6816039426523
0,79,15.5097038647343
0,78,10.7096484848485
0,77,12.1634864117647
0,76,13.7391984401114
0,75,14.5812908409213
0,74,15.3880340983607
0,73,16.1189142857143
0,72,16.5646253835425
0,71,18.2364694478528
0,70,19.4954995754316
0,69,18.4968991366478
0,68,19.2776554067298
0,67,19.4223319895969
0,66,19.9217261829653
0,65,18.9204725609756
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,3.26622356495468
1,89,2.88689785389189
1,88,3.18423159323129
1,87,4.67380890921744
1,86,5.15387312139594
1,85,6.22986783590574
1,84,6.90012604893676
1,83,7.6339265063525
1,82,9.20162024666584
1,81,9.1910991940503
1,80,12.5446913264399
1,79,14.6366232721854
1,78,9.59206035190828
1,77,12.3343357318714
1,76,12.9686565649032
1,75,12.8538506333332
1,74,15.0255429079815
1,73,14.3995556040494
1,72,15.840437084435
1,71,17.4661422946368
1,70,17.7943677070493
1,69,17.5913116070354
1,68,17.3591319378539
1,67,18.3615613142376
1,66,19.1378550184256
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,3.26622356495468
2,89,2.78269153682753
2,88,3.18982066695424
2,87,4.55631289649756
2,86,5.1337866731183
2,85,6.25149312820236
2,84,6.707266744716
2,83,7.51335879099154
2,82,9.04661523349481
2,81,10.2885969268424
2,80,12.2615374890084
2,79,12.5912051705888
2,78,9.19393801624128
2,77,11.7306738900001
2,76,12.5901731802366
2,75,10.9765286365769
2,74,14.0565931466613
2,73,13.8065673069334
2,72,15.3345338930846
2,71,16.5446126529604
2,70,16.7363561585046
2,69,16.577029278924
2,68,16.4895804011077
2,67,16.8528274985942
2,66,17.9144986007347
2,65,16.7509779952399
2,64,17.1728454924176
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,3.26622356495468
3,89,2.7756622813115
3,88,3.17322397736482
3,87,4.38199089971333
3,86,5.09514535609526
3,85,6.25196180698247
3,84,6.59451599452842
3,83,7.41688987622671
3,82,8.82369640577422
3,81,9.79327742281813
3,80,10.9127234320929
3,79,12.3648440923047
3,78,8.37009325099788
3,77,11.4447482914051
3,76,12.1277986931071
3,75,10.6575884165571
