Longitude,Latitude,IC
0,90,3.72181268882175
0,89,4.55912854984894
0,88,4.96434924471299
0,87,5.81646657496561
0,86,6.3492955941255
0,85,7.02915609137056
0,84,8.63242288329519
0,83,10.6686137232846
0,82,9.96995574650913
0,81,12.0810938814532
0,80,13.8460125448029
0,79,13.5833393719807
0,78,15.0179272727273
0,77,16.0075802941176
0,76,16.9692935933148
0,75,14.3595005356186
0,74,13.5614531147541
0,73,15.2300035714286
0,72,16.0147271966527
0,71,17.0714479754601
0,70,18.1056326068497
0,69,17.9114505805299
0,68,17.6407851029075
0,67,16.9533914824447
0,66,17.9197880126183
0,65,18.1362042682927
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,3.72181268882175
1,89,4.53975906039476
1,88,4.93913229673282
1,87,5.77127142813057
1,86,6.28251608672461
1,85,7.03975065457348
1,84,7.49156542455992
1,83,10.5322047469314
1,82,9.89766965850839
1,81,11.8379030758812
1,80,13.6170046672205
1,79,13.4928424926501
1,78,14.3283641246749
1,77,15.2702550821338
1,76,15.9831763857028
1,75,12.5748855945464
1,74,13.9355842888122
1,73,14.6777872075759
1,72,16.1004442588007
1,71,16.4233875307779
1,70,16.4812973164528
1,69,16.6212588963597
1,68,16.4098044100026
1,67,15.959876344705
1,66,17.3299009729061
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,3.72181268882175
2,89,4.52840150899279
2,88,4.93043885805767
2,87,5.65877100850966
2,86,6.24442433462498
2,85,7.03670482546449
2,84,7.29641855337349
2,83,9.36730446669076
2,82,9.72085109446781
2,81,10.5682173311259
2,80,13.1986833259556
2,79,13.2645008766943
2,78,13.8142123171788
2,77,14.7834889293437
2,76,13.6165459938429
2,75,12.1612646610045
2,74,13.4666040594958
2,73,14.0686662774213
2,72,15.5716282563221
2,71,15.6019386041955
2,70,15.530132291225
2,69,15.6609112344575
2,68,16.1136304996259
2,67,15.4080566086491
2,66,16.2221150923704
2,65,15.9895699045472
2,64,18.000977635453
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,3.72181268882175
3,89,4.51696247923881
3,88,4.90478570328488
3,87,5.49896897218927
3,86,6.19079315447363
3,85,7.01511207450146
3,84,7.17376402107483
3,83,9.21823874488748
3,82,9.48456584851122
3,81,10.4117286688115
3,80,12.9063350765168
3,79,12.9631429999969
3,78,13.1179358461633
3,77,14.3375437057594
3,76,11.8025895697358
3,75,11.7679515908556
3,74,12.6904304247858
3,73,13.9157586266376
3,72,14.7993106824755
3,71,14.8097149874848
3,70,14.0574154065599
3,69,15.2186944438021
3,68,14.9960037518623
3,67,14.3395691920195
3,66,14.726560756652
3,65,14.8538362346799
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,3.72181268882175
4,89,4.49740539739018
4,88,4.87897493688956
4,87,5.43108508475048
4,86,6.12939964203064
4,85,6.91632089429174
4,84,7.063322553463
4,83,7.84548627199538
4,82,9.84225410216266
4,81,10.2957085722368
4,80,12.5606184347529
4,79,12.2817842889562
4,78,12.6556646837327
4,77,11.8284145373264
4,76,11.3336650463119
4,75,11.2736038026586
4,74,12.2132849151866
4,73,13.2869186722285
4,72,14.1292075324724
4,71,13.2227133738262
4,70,13.1533980423145
4,69,13.6719813422789
4,68,14.1117784615526
4,67,11.0515715524443
4,66,13.6500570035703
4,65,6.20006134373677
4,64,0
