Longitude,Latitude,IC
0,90,3.17510574018127
0,89,3.48859425981873
0,88,3.40800181268882
0,87,3.40325171939477
0,86,3.86062696929239
0,85,4.5198921319797
0,84,5.73702837528604
0,83,8.17714105736783
0,82,7.66671879699248
0,81,9.8206138623327
0,80,9.8676164874552
0,79,9.91407367149759
0,78,13.733002020202
0,77,13.9376835882353
0,76,14.9871897493036
0,75,19.3867474558115
0,74,NaN
0,73,22.2820285714286
0,72,21.8986377963738
0,71,20.0539029447853
0,70,19.0471553920181
0,69,19.397589222983
0,68,19.8856358052924
0,67,18.4541200260078
0,66,18.0662712933754
0,65,20.0478582317073
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,3.17510574018127
1,89,3.47026063265761
1,88,3.39069049952558
1,87,3.37680775050193
1,86,3.82002234418934
1,85,4.61010219857025
1,84,5.61867406841994
1,83,6.73446084548317
1,82,7.71008579271751
1,81,9.66374274437725
1,80,11.2936590955292
1,79,10.2248974082635
1,78,13.0084106142318
1,77,13.2376955319521
1,76,14.2185794174299
1,75,18.7121164478574
1,74,NaN
1,73,21.1884067300965
1,72,20.832574832257
1,71,18.9868263252644
1,70,17.4774196817329
1,69,18.4348357032751
1,68,18.5796959022343
1,67,17.4099502885738
1,66,17.3739974130407
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,3.17510574018127
2,89,3.46157874822513
2,88,3.39459927767229
2,87,3.25340785502872
2,86,3.82121489133767
2,85,4.6810697336781
2,84,5.43077115929145
2,83,6.63517399723929
2,82,8.46869878123225
2,81,9.915769721131
2,80,11.0688064238029
2,79,10.2720755162253
2,78,12.5265948890486
2,77,12.8666050674303
2,76,15.0534679328916
2,75,NaN
2,74,NaN
2,73,20.0969425986437
2,72,17.6580586528122
2,71,16.8724992786177
2,70,16.3055619201904
2,69,17.3736536654166
2,68,16.9490747251411
2,67,16.2579218380286
2,66,15.7267833338247
2,65,17.5546865354156
2,64,17.6087045150678
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,3.17510574018127
3,89,3.45283458050545
3,88,3.37693712159071
3,87,3.06192590496903
3,86,3.80028886710263
3,85,4.7256612719445
3,84,5.33947860367785
3,83,6.56361935949267
3,82,8.25723688342822
3,81,9.79327742281813
3,80,10.9127234320929
3,79,10.4369920564077
3,78,11.7947665983303
3,77,12.5624192469511
3,76,14.4693043813803
3,75,NaN
3,74,NaN
3,73,19.1354888935768
3,72,16.5730702604137
3,71,15.5763956598309
3,70,15.3568972351875
3,69,16.0769935285729
3,68,15.7873495962878
3,67,14.6188596325986
3,66,14.6496596560951
3,65,16.2291914415947
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,3.17510574018127
4,89,3.43438230346159
4,88,3.35916645015879
4,87,3.00343673741216
4,86,3.76844570584106
4,85,4.65911156477393
4,84,5.26472392386985
4,83,6.936472711069
4,82,8.50106643624951
4,81,9.71736938700617
4,80,10.6601524239081
4,79,9.62655390000899
4,78,11.3860768965766
4,77,12.0197493224594
4,76,13.9056438972205
4,75,NaN
4,74,NaN
4,73,17.3822692533451
4,72,15.3051824675378
4,71,13.8410185291537
4,70,13.5746131179053
4,69,14.2909731404579
4,68,14.4021816196039
4,67,11.4936344145421
4,66,14.0387126387022
4,65,5.70687464593952
4,64,0
4,63,NaN
4,62,NaN
4,61,NaN
4,60,NaN
5,90,3.17510574018127
5,89,3.39649959701698
5,88,3.24574527650994
5,87,2.78399997490202
5,86,3.73615346823743
5,85,4.60099293727963
5,84,5.23005172768866
5,83,6.78566408676412
5,82,7.0189287455388
5,81,9.50071448189428
5,80,10.5338239264394
5,79,9.31146185661401
5,78,11.091906603909
5,77,11.1481702617807
5,76,14.3078164152029
5,75,NaN
5,74,NaN
5,73,14.1781492076115
5,72,13.3786296746025
5,71,12.3715327449629
5,70,12.8186255377233
5,69,12.9799303988339
5,68,12.507487055962
5,67,12.3156062383528
5,66,12.6821810729425
5,65,5.08361139619246
5,64,13.64368780048
5,63,0
5,62,NaN
5,61,NaN
5,60,NaN
6,90,3.17510574018127
6,89,3.38768936543957
6,88,3.28141370965666
6,87,2.77246554291064
6,86,3.69355368872251
6,85,4.5337954760041
6,84,5.04576511891497
6,83,6.38602531593896
6,82,6.85107618149327
6,81,9.51871707240198
6,80,10.2709406469282
6,79,9.71718585950148
6,78,10.3979747453082
6,77,11.1949269174195
6,76,13.4866806797514
6,75,NaN
6,74,15.5367168511948
6,73,12.9130727271782
6,72,12.3565282572127
6,71,11.2347449163258
6,70,11.7633784531788
6,69,11.6549669298828
6,68,10.8334068022401
6,67,11.2513256911092
6,66,11.5293554173318
6,65,12.3395407067051
6,64,12.1394972643025
6,63,12.3753843968023
6,62,NaN
6,61,NaN
6,60,NaN
7,90,3.17510574018127
7,89,3.37883109719105
7,88,3.27406405456579
7,87,2.74911269071644
7,86,3.68003224844829
7,85,4.44096655927453
7,84,4.90526401745211
7,83,6.23372765506372
7,82,6.71242580262228
7,81,9.29327158327572
7,80,10.2144106961364
7,79,9.96405074119258
7,78,10.2622645518511
7,77,11.1043301415279
7,76,13.1494353262519
7,75,NaN
7,74,14.3683739631036
7,73,11.4855225687246
7,72,11.5107597176852
7,71,10.6801607895024
7,70,10.7390128907697
7,69,10.560516583145
7,68,9.96735319249237
7,67,9.88620051639968
7,66,10.2294550464125
