Longitude,Latitude,IC
0,90,3.81293051359517
0,89,4.07252205438066
0,88,4.34181027190332
0,87,5.2131628610729
0,86,5.72712843791722
0,85,6.40184010152284
0,84,6.83528146453089
0,83,7.55427289088864
0,82,7.56202620837809
0,81,9.03435994263862
0,80,9.96465053763441
0,79,11.565243236715
0,78,16.6051878787879
0,77,16.820754
0,76,17.7034061281337
0,75,16.7991938939475
0,74,14.170313442623
0,73,15.5855678571429
0,72,16.4546457461646
0,71,18.6558771779141
0,70,19.0023209736768
0,69,19.9830377791009
0,68,18.3890686703692
0,67,17.4859080624187
0,66,15.3319167192429
0,65,15.146181402439
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,3.81293051359517
1,89,4.05362341142333
1,88,4.31975557784992
1,87,5.17265550872341
1,86,5.66689265109079
1,85,6.43233854057267
1,84,6.70297959039571
1,83,7.03428273243962
1,82,7.61065016245429
1,81,8.90751306385413
1,80,10.0426268646184
1,79,11.1235823064698
1,78,15.1824516902558
1,77,16.0983348988744
1,76,16.9389997435173
1,75,14.6671233854478
1,74,14.4518804768398
1,73,14.4552019247547
1,72,15.7364342146887
1,71,17.8571753310839
1,70,17.5226979710638
1,69,18.9831263658309
1,68,17.087895501325
1,67,16.5489688844017
1,66,14.9927896457712
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,3.81293051359517
2,89,4.04348207228022
2,88,4.31610302590352
2,87,5.05743022013943
2,86,5.63862197380315
2,85,6.44779605251789
2,84,6.51088280849684
2,83,6.92790226182337
2,82,7.50550469412797
2,81,8.61087450114123
2,80,9.87607535859739
2,79,11.0949924903543
2,78,13.1325325022863
2,77,15.5644416138269
2,76,15.1903176413725
2,75,13.2801820174084
2,74,13.4129686879353
2,73,13.7541475128358
2,72,15.2396961477896
2,71,16.7085559657891
2,70,16.4778796155161
2,69,16.8160165948718
2,68,15.904769443247
2,67,15.4505498701181
2,66,14.0343998254604
2,65,13.0708388902251
2,64,NaN
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,3.81293051359517
3,89,4.03326797981456
3,88,4.29364627060721
3,87,4.88970820538421
3,86,5.59316708263088
3,85,6.44274937386222
3,84,6.40143331901294
3,83,6.75323502987801
3,82,7.31313767951822
3,81,8.55637493083138
3,80,10.0355343085463
3,79,11.1682462769204
3,78,12.1839340241636
3,77,15.060742559348
3,76,14.4693043813803
3,75,11.4595173757727
3,74,12.4388665401835
3,73,13.6410359810092
3,72,14.9643115734465
3,71,15.0013851555713
3,70,15.4787236566214
3,69,15.8157720679905
3,68,14.362927076322
3,67,13.4617992359137
3,66,12.3041760891087
3,65,12.142421683905
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,3.81293051359517
4,89,4.01421308196809
4,88,4.27105154219725
4,87,4.8241729979159
4,86,5.53916115798324
4,85,6.35201856191229
4,84,6.30601786731852
4,83,6.75466999888372
4,82,7.42811630351899
4,81,8.56069101654501
4,80,9.82394737913635
4,79,10.3951732231253
4,78,10.6392605511907
4,77,12.0197493224594
4,76,12.5584168800779
4,75,10.0464531494984
4,74,11.886111253932
4,73,13.0309592609087
4,72,13.1808406493552
4,71,13.2613574460342
4,70,13.1533980423145
4,69,13.4398594179618
4,68,13.5309721454501
4,67,10.521096117927
4,66,11.4947848451118
4,65,0
4,64,NaN
4,63,NaN
4,62,NaN
4,61,NaN
4,60,NaN
5,90,3.81293051359517
5,89,3.97747979124357
5,88,4.16524212239774
5,87,4.63472723094484
5,86,5.48467329137254
5,85,6.26760647802798
5,84,6.24483788380736
5,83,6.60745472690971
5,82,7.27938376083472
5,81,8.38873375153752
5,80,9.76410659303074
5,79,10.0516169680625
5,78,10.3953134355475
5,77,11.1481702617807
5,76,11.9431447410004
5,75,9.94035907690782
5,74,11.0409300727611
5,73,11.873206451566
5,72,12.4582191657452
5,71,12.1905741967674
5,70,12.4349387869343
5,69,12.1160415203758
5,68,11.7294689294248
5,67,11.5994693249676
5,66,10.0858290422613
5,65,0
5,64,NaN
5,63,NaN
5,62,NaN
5,61,NaN
5,60,NaN
6,90,3.81293051359517
6,89,3.96716254637002
6,88,4.1890387782851
6,87,4.60511225771597
6,86,5.42213681504465
6,85,6.17606814068671
6,84,6.13297417768671
6,83,6.473137938297
6,82,7.1048197437708
6,81,8.22496770401278
6,80,9.54058534483432
6,79,9.44375855176659
6,78,9.68728246513464
6,77,11.0190903689784
6,76,10.6540691872691
6,75,8.85884720191488
6,74,10.3315383769005
6,73,10.7167803749761
6,72,11.8011504364187
6,71,11.3694168240364
6,70,11.1746644249382
6,69,11.0559109483354
6,68,9.98863085072414
6,67,10.2125342304193
6,66,9.18078301750495
6,65,9.08413423885573
6,64,NaN
6,63,NaN
6,62,NaN
6,61,NaN
6,60,NaN
7,90,3.81293051359517
7,89,3.95678904802636
7,88,4.17539462958744
7,87,4.56632277441035
7,86,5.3818653435805
7,85,6.06469495750928
7,84,5.98001287520848
7,83,6.48990824362798
7,82,6.95823294469014
7,81,8.05454237947359
7,80,9.25910609865597
7,79,9.73640107575233
7,78,9.62758596396306
7,77,10.5482581390631
7,76,10.1983791884549
7,75,8.04163052588811
7,74,9.58083406029937
7,73,9.88222024076233
7,72,10.5367003111439
7,71,9.99182983178198
7,70,9.95138430075555
7,69,9.82884106930123
7,68,9.20016159824265
7,67,9.25262794897332
7,66,8.22258648144875
7,65,8.01409452248057
7,64,NaN
7,63,NaN
7,62,NaN
7,61,NaN
7,60,NaN
8,90,3.81293051359517
8,89,4.15291274684999
8,88,4.15250062800165
8,87,4.52739778715821
8,86,5.31866758073268
8,85,5.9340077496957
8,84,5.9923021601752
8,83,6.31440716777745
8,82,6.6974183763627
8,81,7.86156252948662
8,80,8.89153006963168
8,79,9.32458215388307
8,78,9.14876634196572
8,77,10.0989592716383
8,76,8.13704850291422
8,75,7.53084847370896
8,74,8.98091616892957
8,73,9.35241943711996
8,72,8.94419093605038
8,71,8.79119922759721
8,70,9.10252044913027
8,69,8.26593241964636
8,68,8.00220500130314
8,67,7.67943515735957
8,66,7.28313703091621
8,65,7.11156898251098
8,64,NaN
8,63,NaN
8,62,NaN
8,61,NaN
8,60,NaN
9,90,3.81293051359517
9,89,4.14189057093613
9,88,4.12051687994729
9,87,4.48835716319346
9,86,5.23337073349107
9,85,5.87471927443191
9,84,5.91064302054987
9,83,6.18193012375472
9,82,6.72569176077051
9,81,7.56930394077318
9,80,8.52339359618091
9,79,8.77074038629141
9,78,8.75524568813354
9,77,9.58446117539924
9,76,7.1773729157247
9,75,7.56935400665656
9,74,8.66988053416978
9,73,8.50621511384115
9,72,8.23927953350414
9,71,8.06788769383943
9,70,8.29160795272571
9,69,7.13052133824527
9,68,6.30884296239737
9,67,6.75487311670347
9,66,6.27040103231295
9,65,6.20784557599187
9,64,NaN
9,63,NaN
9,62,NaN
9,61,NaN
9,60,NaN
10,90,3.81293051359517
10,89,4.13082187760197
10,88,4.09751267563715
