Longitude,Latitude,IC
0,90,2.35504531722054
0,89,2.51538126888217
0,88,2.88921933534743
0,87,3.30270110041265
0,86,3.86062696929239
0,85,4.5198921319797
0,84,5.93671075514874
0,83,6.20472519685039
0,82,6.93387067669173
0,81,8.14982428298279
0,80,11.8082974910394
0,79,12.8494862318841
0,78,13.8085858585859
0,77,14.6769324117647
0,76,15.2808347632312
0,75,16.2077530798072
0,74,15.8615921311475
0,73,14.9929607142857
0,72,16.3446661087866
0,71,17.9102634355828
0,70,18.9126521369941
0,69,24.9368332539446
0,68,19.0438167918981
0,67,19.2286895968791
0,66,19.1893097791798
0,65,20.096875
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,2.35504531722054
1,89,2.49798933471475
1,88,2.87454323378984
1,87,3.27703843060074
1,86,3.82002234418934
1,85,4.61010219857025
1,84,5.81582052696099
1,83,6.23475770055577
1,82,7.01403638087496
1,81,8.05675467326561
1,80,11.7404563208544
1,79,12.8392534757727
1,78,13.0860549383755
1,77,13.9152153820127
1,76,14.512678912142
1,75,15.6435010212019
1,74,15.8286703115799
1,73,14.4552019247547
1,72,14.9044112567184
1,71,17.1620054885113
1,70,17.4774196817329
1,69,23.6225088951493
1,68,17.7659865926474
1,67,18.180302071254
1,66,19.3583372190987
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,2.35504531722054
2,89,2.49173987479999
2,88,2.88265275087717
2,87,3.15318439030034
2,86,3.82121489133767
2,85,4.6810697336781
2,84,5.62715509551061
2,83,6.14729355626581
2,82,6.83126883315497
2,81,7.77201328829067
2,80,10.7280261194585
2,79,12.6660158046005
2,78,12.7538214940128
2,77,12.4406308758939
2,76,13.3428465768812
2,75,13.6750940255509
2,74,15.0756652063106
2,73,13.858987101031
2,72,14.4809941854295
2,71,16.2986976837174
2,70,16.4778796155161
2,69,22.2728936423463
2,68,16.3642637672804
2,67,17.065293805939
2,66,18.1208868334621
2,65,17.6815878838643
2,64,15.821682522202
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,2.35504531722054
3,89,2.48544558165694
3,88,2.86765426102598
3,87,2.96038244383485
3,86,3.80028886710263
3,85,4.7256612719445
3,84,5.53256127919332
3,83,6.08958018352931
3,82,6.65226823678122
3,81,7.7612233288399
3,80,9.07860071922285
3,79,12.5642770615354
3,78,12.0282670538303
3,77,12.1679471449937
3,76,12.7131751151754
3,75,12.9400016081706
3,74,14.4513776170022
3,73,13.6410359810092
3,72,14.3043080095625
3,71,15.461393558979
3,70,15.1538531994645
3,69,20.9655665766154
3,68,15.23340750519
3,67,15.8956159323889
3,66,16.879791572246
3,65,16.4256707568682
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,2.35504531722054
4,89,2.46799767261742
4,88,2.85256362124853
4,87,2.90228472293973
4,86,3.76844570584106
4,85,4.65911156477393
4,84,5.45405009540597
4,83,6.11836050623526
4,82,6.71281621503198
4,81,7.81711206410568
4,80,8.91172369393083
4,79,11.8625373854382
4,78,10.7139421857293
4,77,11.6370797521934
4,76,12.2522289216364
4,75,12.2085757288759
4,74,13.8491532214598
4,73,12.6896800458157
4,72,13.6360567532515
4,71,13.8410185291537
4,70,14.187289591492
4,69,19.3976554754348
