Longitude,Latitude,IC
0,90,2.90175226586103
0,89,2.32073867069486
0,88,3.30424531722054
0,87,4.81096038514443
0,86,5.5197393858478
0,85,6.40184010152284
0,84,7.43432860411899
0,83,7.45046152980877
0,82,8.71364468313641
0,81,9.62405038240918
0,80,10.5468548387097
0,79,11.0148533816425
0,78,12.1457414141414
0,77,11.4242375882353
0,76,11.977328356546
0,75,12.363387787895
0,74,13.4261508196721
0,73,14.9337
0,72,16.2896762900976
0,71,18.3762720245399
0,70,19.7196716671384
0,69,20.2982793093182
0,68,20.9145257105521
0,67,21.1651135240572
0,66,20.3123482649842
0,65,20.6360594512195
0,64,NaN
0,63,NaN
0,62,NaN
0,61,NaN
0,60,NaN
1,90,2.90175226586103
1,89,2.30353507512617
1,88,3.28746104637843
1,87,4.77357822911864
1,86,5.46168483921285
1,85,6.43233854057267
1,84,7.19584573674834
1,83,7.43404524838154
1,82,8.20726394403362
1,81,9.75827145444265
1,80,10.5787835350087
1,79,11.1235823064698
1,78,10.4461479174892
1,77,10.60289611505
1,76,11.2040595966303
1,75,12.0169555169726
1,74,13.8208518025838
1,73,14.1769703212282
1,72,15.5804299100693
1,71,17.5964866401191
1,70,18.2924288896894
1,69,19.2783597995148
1,68,19.5742295028405
1,67,19.9928945010899
1,66,19.4906265395025
1,65,NaN
1,64,NaN
1,63,NaN
1,62,NaN
1,61,NaN
1,60,NaN
2,90,2.90175226586103
2,89,2.29777210011496
2,88,3.29220997231327
2,87,4.65653636122594
2,86,5.43668785352921
2,85,6.44779605251789
2,84,7.00184264904475
2,83,7.02547835001807
2,82,8.08342114639053
2,81,9.44973571399179
2,80,10.387245815114
2,79,11.8430988304715
2,78,9.19393801624128
2,77,10.3107599182124
2,76,11.0164015327071
2,75,11.6347153168145
2,74,13.3593333163749
2,73,13.5444683364455
2,72,15.0974395298471
2,71,16.7085559657891
2,70,16.779435582336
2,69,18.1702780519093
2,68,17.9933800070352
2,67,18.1276253426633
2,66,17.8732209541893
2,65,17.893090131279
2,64,16.1703697403222
2,63,NaN
2,62,NaN
2,61,NaN
2,60,NaN
3,90,2.90175226586103
3,89,2.29196778188724
3,88,3.27508054947776
3,87,4.4835343608475
3,86,5.39395839201663
3,85,6.44274937386222
3,84,6.88414000780162
3,83,6.94285070026335
3,82,7.87959720186422
3,81,9.26317635482381
3,80,10.2747677058772
3,79,11.8330228410228
3,78,8.37009325099788
3,77,10.1955866352067
3,76,10.2415857775537
3,75,10.7192752595737
3,74,12.5394920940244
3,73,13.4578875505903
3,72,14.8405609052182
3,71,15.8830679287693
3,70,15.8035941137782
3,69,16.897975261832
3,68,16.7765319018196
3,67,16.6137913510209
3,66,16.1492311169552
3,65,16.3077831677041
3,64,NaN
3,63,NaN
3,62,NaN
3,61,NaN
3,60,NaN
4,90,2.90175226586103
4,89,2.27472074644859
4,88,3.25784588437674
4,87,4.41956494002618
4,86,5.34241499663411
4,85,6.35201856191229
4,84,6.77933329615882
4,83,6.84557135497636
4,82,7.7857663477625
4,81,9.22165008537996
4,80,9.97598466000393
4,79,12.1420353211169
4,78,9.29499112949594
4,77,9.53239711573008
4,76,9.86396284579262
4,75,10.2801961310527
4,74,12.0730676317918
4,73,12.8603196533622
4,72,14.1671422077971
4,71,14.5752559011051
4,70,14.7999660650787
4,69,14.6778430143198
4,68,15.7452962255909
4,67,13.703948725031
4,66,14.7806915784993
4,65,6.62279279899154
4,64,0
4,63,NaN
4,62,0
4,61,13.8591327462887
4,60,14.1449709685768
5,90,2.90175226586103
5,89,2.2345392085638
5,88,3.14357896030018
5,87,4.22345450737977
5,86,5.2903933110242
5,85,6.26760647802798
5,84,6.70610431840676
5,83,6.69655940683692
5,82,7.62665711456261
5,81,9.02415131174139
5,80,10.4638496234023
5,79,11.1282062210785
5,78,8.86280846515237
5,77,8.29476954001539
5,76,9.52079814791485
5,75,10.0986579760501
5,74,11.5985861344158
5,73,12.2308699826765
5,72,13.3786296746025
5,71,13.6744342919702
5,70,13.9696857900903
5,69,13.6638424276133
5,68,14.5709264350389
5,67,13.850185338464
5,66,13.2813392338689
5,65,4.95326238603368
5,64,12.4587521354259
5,63,0
5,62,12.3037420204014
5,61,11.7063307881746
5,60,NaN
6,90,2.90175226586103
6,89,2.22874300357866
6,88,3.18056647980906
6,87,4.19785743220368
6,86,5.23007202323108
6,85,6.17606814068671
6,84,5.86117191299377
6,83,6.56025056065503
6,82,7.35856330604832
6,81,8.75768803217304
6,80,10.0053569007122
6,79,9.30704489789915
6,78,8.12375944875286
6,77,8.49876650798863
6,76,8.58862330733411
6,75,9.607644429645
6,74,10.9053375787912
6,73,11.6319021883936
6,72,12.6178825258216
6,71,12.7834718549986
6,70,12.548330490833
6,69,12.6533935657951
6,68,12.7257049336357
6,67,12.4789883264701
6,66,12.1088732822241
6,65,11.7814710265023
6,64,11.038765647073
6,63,11.1596665341441
6,62,9.00392232837139
6,61,7.34557877691855
6,60,NaN
7,90,2.90175226586103
7,89,2.99352579663417
7,88,3.17391621289672
7,87,4.16249831136726
7,86,5.1927727774547
7,85,6.06469495750928
7,84,5.71132566076939
7,83,6.40451471410656
7,82,6.46661866055442
7,81,8.56460734574505
7,80,9.70491491081348
7,79,9.28110174487183
7,78,7.15233947119973
7,77,8.15714852846444
7,76,8.3403068053976
7,75,8.53779187774641
7,74,10.4036924810939
7,73,10.9397175209076
7,72,11.784713925775
7,71,12.2575859009452
7,70,11.5872282954003
7,69,11.6580298539106
7,68,11.7165500273817
7,67,10.7501631083447
7,66,10.8984112347338
7,65,10.4836088912733
7,64,9.87310704556209
7,63,7.61666420793753
7,62,4.18314800847004
7,61,3.10881308873661
7,60,NaN
8,90,2.90175226586103
8,89,3.2266125059169
8,88,3.1565133925031
8,87,4.12701566992654
8,86,5.13179547654478
8,85,5.9340077496957
8,84,5.73426044035904
8,83,6.23047333016896
8,82,6.85925190590307
8,81,8.001467133023
8,80,9.32748332196815
8,79,8.93782874640661
8,78,6.74294448751726
8,77,7.84982850158022
8,76,7.52794122534482
8,75,8.52718639124833
8,74,9.50872769784497
8,73,10.3178459312694
8,72,10.967822242829
8,71,11.0354352720273
8,70,10.6550315511139
8,69,10.5963413558918
8,68,10.5853729315484
8,67,9.69489929690885
8,66,9.40003499145933
8,65,9.28806340420473
